number,symbol,technique,section,expected_panel,risk,risk_label,expected_row,mechanism,mechanism_name,risk_row,mechanism_column,status
20,Fc,Feature collision,poisoning,poisoning_grid,R1,R1 Extreme,R1 Extreme,O,Optimization,0,1,consistent
21,Bp,Bullseye poly,poisoning,poisoning_grid,R2,R2 High,R2 High,O,Optimization,1,1,consistent
22,If,Influence,poisoning,poisoning_grid,R2,R2 High,R2 High,O,Optimization,1,1,consistent
23,Hp,Hessian,poisoning,poisoning_grid,R2,R2 High,R2 High,O,Optimization,1,1,consistent
24,Cp,Curriculum,poisoning,poisoning_grid,R2,R2 High,R2 High,O,Optimization,1,1,consistent
25,Cl,Clean-label BD,poisoning,poisoning_grid,R1,R1 Extreme,R1 Extreme,B,Backdoor / Trigger,0,3,consistent
26,Nl,NLP trigger,poisoning,poisoning_grid,R2,R2 High,R2 High,B,Backdoor / Trigger,1,3,consistent
27,Al,ALIE,poisoning,poisoning_grid,R2,R2 High,R2 High,D,Distributed / Federated,1,4,consistent
28,Gd,Glaze cloak,poisoning,poisoning_grid,R3,R3 Moderate,R3 Moderate,N,Generative,2,7,consistent
29,Dp,DPO poison,poisoning,poisoning_grid,R3,R3 Moderate,R3 Moderate,P,Preference / RLHF,2,8,consistent
30,Rp,Reward poison,poisoning,poisoning_grid,R3,R3 Moderate,R3 Moderate,P,Preference / RLHF,2,8,consistent
31,Lf,Random label flip,poisoning,poisoning_grid,R4,R4 Low / Baseline,R4 Low / Baseline,M,Minimal / Structural,3,0,consistent
32,Svm,SVM poison,poisoning,poisoning_grid,R4,R4 Low / Baseline,R4 Low / Baseline,O,Optimization,3,1,consistent
33,Ko,KNN poison,poisoning,poisoning_grid,R3,R3 Moderate,R3 Moderate,M,Minimal / Structural,2,0,consistent
34,Oo,Outlier inject,poisoning,poisoning_grid,R4,R4 Low / Baseline,R4 Low / Baseline,M,Minimal / Structural,3,0,consistent
35,RgN,Regression poison,poisoning,poisoning_grid,R4,R4 Low / Baseline,R4 Low / Baseline,O,Optimization,3,1,consistent
36,Ts,Time-series,poisoning,poisoning_grid,R3,R3 Moderate,R3 Moderate,M,Minimal / Structural,2,0,consistent
37,Cf,Collab filter,poisoning,poisoning_grid,R2,R2 High,R2 High,M,Minimal / Structural,1,0,consistent
38,Js,JSMA,evasion_analog,evasion_analog_panel,R3,R3 Moderate,R3 Moderate,M,Minimal / Structural,2,0,consistent
39,Sf,SparseFool,evasion_analog,evasion_analog_panel,R4,R4 Low / Baseline,R4 Low / Baseline,M,Minimal / Structural,3,0,consistent
40,Fg,FGSM,evasion_analog,evasion_analog_panel,R3,R3 Moderate,R3 Moderate,G,Gradient,2,2,consistent
41,Pg,PGD,evasion_analog,evasion_analog_panel,R2,R2 High,R2 High,G,Gradient,1,2,consistent
42,Df,DeepFool,evasion_analog,evasion_analog_panel,R3,R3 Moderate,R3 Moderate,M,Minimal / Structural,2,0,consistent
43,Cw,Carlini-Wagner,evasion_analog,evasion_analog_panel,R2,R2 High,R2 High,O,Optimization,1,1,consistent
44,Ead,Elastic Net,evasion_analog,evasion_analog_panel,R2,R2 High,R2 High,O,Optimization,1,1,consistent
45,Zo,ZOO,evasion_analog,evasion_analog_panel,R3,R3 Moderate,R3 Moderate,O,Optimization,2,1,consistent
46,Bd,Boundary,evasion_analog,evasion_analog_panel,R3,R3 Moderate,R3 Moderate,O,Optimization,2,1,consistent
47,Op,One-Pixel,evasion_analog,evasion_analog_panel,R4,R4 Low / Baseline,R4 Low / Baseline,M,Minimal / Structural,3,0,consistent
48,Ap,Adv. patch,evasion_analog,evasion_analog_panel,R2,R2 High,R2 High,U,Universal / Transfer,1,3,consistent
49,Uap,Universal pert.,evasion_analog,evasion_analog_panel,R2,R2 High,R2 High,U,Universal / Transfer,1,3,consistent
50,Eot,EOT,evasion_analog,evasion_analog_panel,R2,R2 High,R2 High,U,Universal / Transfer,1,3,consistent
51,St,Surrogate transfer,evasion_analog,evasion_analog_panel,R2,R2 High,R2 High,U,Universal / Transfer,1,3,consistent
